epoch,step,train_loss_epoch,train_loss_step
0,47,,0.08860235661268234
0,47,0.04693429172039032,
1,95,,0.16674411296844482
1,95,0.04003108665347099,
2,143,,0.034877680242061615
2,143,0.03870033472776413,
3,191,,0.040272653102874756
3,191,0.0427563339471817,
4,239,,0.01677614264190197
4,239,0.03882688283920288,
5,287,,0.090396948158741
5,287,0.04773895815014839,
6,335,,0.02819882333278656
6,335,0.04932926222681999,
7,383,,0.01452518068253994
7,383,0.056325871497392654,
8,431,,0.17233715951442719
8,431,0.06920085102319717,
9,479,,0.021061528474092484
9,479,0.04823334515094757,
10,527,,0.10418634116649628
10,527,0.05633373185992241,
11,575,,0.016229066997766495
11,575,0.04796428978443146,
12,623,,0.015913914889097214
12,623,0.04035119712352753,
13,671,,0.02113400399684906
13,671,0.05072273686528206,
14,719,,0.017669249325990677
14,719,0.04216302931308746,
15,767,,0.013786006718873978
15,767,0.03722011670470238,
16,815,,0.02595805563032627
16,815,0.06877237558364868,
17,863,,0.028007743880152702
17,863,0.04776863753795624,
18,911,,0.028991928324103355
18,911,0.03510759770870209,
19,959,,0.012937892228364944
19,959,0.0364159420132637,
20,1007,,0.10243125259876251
20,1007,0.041970670223236084,
21,1055,,0.027216635644435883
21,1055,0.0425158329308033,
22,1103,,0.017733070999383926
22,1103,0.03846662864089012,
23,1151,,0.026973316445946693
23,1151,0.04249027743935585,
24,1199,,0.027276160195469856
24,1199,0.050521399825811386,
25,1247,,0.015722420066595078
25,1247,0.047551825642585754,
26,1295,,0.11300009489059448
26,1295,0.045204538851976395,
27,1343,,0.14124521613121033
27,1343,0.044173840433359146,
28,1391,,0.020594727247953415
28,1391,0.044334981590509415,
29,1439,,0.017632998526096344
29,1439,0.04806278273463249,
30,1487,,0.038498107343912125
30,1487,0.05605436861515045,
31,1535,,0.015004711225628853
31,1535,0.03784825652837753,
32,1583,,0.03016890026628971
32,1583,0.0429307259619236,
33,1631,,0.031079299747943878
33,1631,0.046065736562013626,
34,1679,,0.021948087960481644
34,1679,0.04865897074341774,
35,1727,,0.03645163029432297
35,1727,0.041719451546669006,
36,1775,,0.04274088516831398
36,1775,0.028083838522434235,
37,1823,,0.02082175388932228
37,1823,0.035723134875297546,
38,1871,,0.017562653869390488
38,1871,0.03701253980398178,
39,1919,,0.040510304272174835
39,1919,0.04285381734371185,
40,1967,,0.013769317418336868
40,1967,0.04494317248463631,
41,2015,,0.021337419748306274
41,2015,0.043617863208055496,
42,2063,,0.029906628653407097
42,2063,0.04397287964820862,
43,2111,,0.018627507612109184
43,2111,0.040884483605623245,
44,2159,,0.029397886246442795
44,2159,0.05271727219223976,
