epoch,step,train_loss_epoch,train_loss_step
0,47,,0.05400911718606949
0,47,0.046978119760751724,
1,95,,0.023076487705111504
1,95,0.04139045253396034,
2,143,,0.07011522352695465
2,143,0.043213311582803726,
3,191,,0.014976292848587036
3,191,0.04479141905903816,
4,239,,0.11015894263982773
4,239,0.06082257255911827,
5,287,,0.025450294837355614
5,287,0.05724332109093666,
6,335,,0.0873832106590271
6,335,0.0360964871942997,
7,383,,0.046552784740924835
7,383,0.048179399222135544,
8,431,,0.05301228165626526
8,431,0.044711753726005554,
9,479,,0.11093828827142715
9,479,0.04122137278318405,
10,527,,0.027186525985598564
10,527,0.04903373122215271,
11,575,,0.01671815663576126
11,575,0.0428776852786541,
12,623,,0.04009775072336197
12,623,0.04482203349471092,
13,671,,0.034238480031490326
13,671,0.04994845390319824,
14,719,,0.020375758409500122
14,719,0.04447785019874573,
15,767,,0.02418939769268036
15,767,0.04644616320729256,
16,815,,0.023893604055047035
16,815,0.046605538576841354,
17,863,,0.025601956993341446
17,863,0.03774747624993324,
18,911,,0.015226987190544605
18,911,0.04786078631877899,
19,959,,0.14139175415039062
19,959,0.05493800714612007,
20,1007,,0.07102978229522705
20,1007,0.05506071448326111,
21,1055,,0.04411567375063896
21,1055,0.047310080379247665,
22,1103,,0.024583160877227783
22,1103,0.040502216666936874,
23,1151,,0.026633329689502716
23,1151,0.04722237586975098,
24,1199,,0.08335715532302856
24,1199,0.04723910614848137,
25,1247,,0.028080886229872704
25,1247,0.041911590844392776,
26,1295,,0.013585677370429039
26,1295,0.04440857097506523,
27,1343,,0.014473850838840008
27,1343,0.03718632459640503,
28,1391,,0.09197802096605301
28,1391,0.05394212529063225,
29,1439,,0.01259794645011425
29,1439,0.03818525746464729,
30,1487,,0.04237212985754013
30,1487,0.032397229224443436,
31,1535,,0.02038399875164032
31,1535,0.04069686308503151,
32,1583,,0.026815010234713554
32,1583,0.054580625146627426,
33,1631,,0.028541866689920425
33,1631,0.045900989323854446,
34,1679,,0.013314269483089447
34,1679,0.03865555301308632,
35,1727,,0.021743735298514366
35,1727,0.03378937020897865,
36,1775,,0.017015011981129646
36,1775,0.052577029913663864,
37,1823,,0.10520458221435547
37,1823,0.0486232191324234,
38,1871,,0.02320387400686741
38,1871,0.05621348321437836,
39,1919,,0.023528922349214554
39,1919,0.04907170310616493,
40,1967,,0.04770369455218315
40,1967,0.04241214320063591,
41,2015,,0.04009424149990082
41,2015,0.038302574306726456,
42,2063,,0.1323017179965973
42,2063,0.04838375374674797,
43,2111,,0.014281928539276123
43,2111,0.04208831489086151,
44,2159,,0.015763714909553528
44,2159,0.04028613120317459,
45,2207,,0.013763591647148132
45,2207,0.03493232652544975,
46,2255,,0.10373511910438538
46,2255,0.03853787109255791,
47,2303,,0.07590827345848083
47,2303,0.05117959901690483,
48,2351,,0.03621094301342964
48,2351,0.039225995540618896,
49,2399,,0.02675224095582962
49,2399,0.046599600464105606,
50,2447,,0.07051050662994385
50,2447,0.043115317821502686,
51,2495,,0.027225352823734283
51,2495,0.04694986715912819,
52,2543,,0.020156962797045708
52,2543,0.039242204278707504,
53,2591,,0.01430484652519226
53,2591,0.040709417313337326,
54,2639,,0.032567668706178665
54,2639,0.040174029767513275,
55,2687,,0.018801812082529068
55,2687,0.04564402997493744,
56,2735,,0.11216213554143906
56,2735,0.03672975301742554,
57,2783,,0.11145146191120148
57,2783,0.045598674565553665,
58,2831,,0.018457718193531036
58,2831,0.053649235516786575,
59,2879,,0.02154211513698101
59,2879,0.04044251888990402,
60,2927,,0.0173475481569767
60,2927,0.07729483395814896,
61,2975,,0.03685858100652695
61,2975,0.045389216393232346,
62,3023,,0.024139493703842163
62,3023,0.04832301661372185,
63,3071,,0.03881018981337547
63,3071,0.040838681161403656,
64,3119,,0.08839093893766403
64,3119,0.04382399097084999,
65,3167,,0.02882019616663456
65,3167,0.03386271372437477,
66,3215,,0.016708120703697205
66,3215,0.0393357090651989,
67,3263,,0.02544858679175377
67,3263,0.03708654269576073,
68,3311,,0.012705797329545021
68,3311,0.03692762553691864,
69,3359,,0.03452767804265022
69,3359,0.04059908166527748,
70,3407,,0.08602292835712433
70,3407,0.04172786697745323,
71,3455,,0.0407794788479805
71,3455,0.05020746961236,
72,3503,,0.029157012701034546
72,3503,0.03959912434220314,
73,3551,,0.06566081196069717
73,3551,0.0410127229988575,
74,3599,,0.016556881368160248
74,3599,0.034482792019844055,
75,3647,,0.02429802715778351
75,3647,0.04595976695418358,
76,3695,,0.021221762523055077
76,3695,0.03824065253138542,
77,3743,,0.025987211614847183
77,3743,0.0360012948513031,
78,3791,,0.014948060736060143
78,3791,0.052381861954927444,
79,3839,,0.028346557170152664
79,3839,0.04359644651412964,
80,3887,,0.02195936068892479
80,3887,0.043853163719177246,
81,3935,,0.022955317050218582
81,3935,0.03675132244825363,
82,3983,,0.03581865131855011
82,3983,0.038435619324445724,
83,4031,,0.012924300506711006
83,4031,0.040833789855241776,
84,4079,,0.047980159521102905
84,4079,0.03510885313153267,
85,4127,,0.04234231263399124
85,4127,0.05685034021735191,
86,4175,,0.013584962114691734
86,4175,0.036291416734457016,
87,4223,,0.02525520510971546
87,4223,0.033693354576826096,
88,4271,,0.019010283052921295
88,4271,0.033656515181064606,
89,4319,,0.02908855304121971
89,4319,0.04777403548359871,
90,4367,,0.02176932990550995
90,4367,0.045054759830236435,
91,4415,,0.04159490764141083
91,4415,0.03264796733856201,
92,4463,,0.017616543918848038
92,4463,0.047477561980485916,
93,4511,,0.11094941198825836
93,4511,0.036886125802993774,
94,4559,,0.025134630501270294
94,4559,0.03613268956542015,
95,4607,,0.029261529445648193
95,4607,0.03648257255554199,
96,4655,,0.018974823877215385
96,4655,0.037765782326459885,
97,4703,,0.02432338520884514
97,4703,0.038745682686567307,
98,4751,,0.013151937164366245
98,4751,0.04113294929265976,
99,4799,,0.023144155740737915
99,4799,0.04758237674832344,
100,4847,,0.0745304524898529
100,4847,0.047967880964279175,
101,4895,,0.11548253148794174
101,4895,0.03737052157521248,
102,4943,,0.01960921101272106
102,4943,0.04975232481956482,
103,4991,,0.02379138395190239
103,4991,0.03704533353447914,
104,5039,,0.012151789851486683
104,5039,0.04507588967680931,
105,5087,,0.02098313719034195
105,5087,0.03390448912978172,
106,5135,,0.0995485931634903
106,5135,0.041224248707294464,
107,5183,,0.02788974530994892
107,5183,0.039825063198804855,
108,5231,,0.03298689424991608
108,5231,0.03776752948760986,
109,5279,,0.01824582926928997
109,5279,0.03481297194957733,
