epoch,step,train_loss_epoch,train_loss_step
0,47,,0.05056989938020706
0,47,0.05736832320690155,
1,95,,0.017388250678777695
1,95,0.0485413521528244,
2,143,,0.013678262010216713
2,143,0.05251544713973999,
3,191,,0.058669302612543106
3,191,0.040634479373693466,
4,239,,0.014828231185674667
4,239,0.04588295891880989,
5,287,,0.01667088083922863
5,287,0.042085349559783936,
6,335,,0.03855542838573456
6,335,0.05254397168755531,
7,383,,0.02730436995625496
7,383,0.035954542458057404,
8,431,,0.02420881576836109
8,431,0.042413849383592606,
9,479,,0.027681972831487656
9,479,0.03676949068903923,
10,527,,0.017064683139324188
10,527,0.04479661211371422,
11,575,,0.11653541028499603
11,575,0.04278097674250603,
12,623,,0.012594577856361866
12,623,0.05461392179131508,
13,671,,0.04900231957435608
13,671,0.03761185705661774,
14,719,,0.0154054444283247
14,719,0.04191585257649422,
15,767,,0.014487273059785366
15,767,0.04515818879008293,
16,815,,0.01269637793302536
16,815,0.05539571866393089,
17,863,,0.133122056722641
17,863,0.044659506529569626,
18,911,,0.12299102544784546
18,911,0.041658323258161545,
19,959,,0.02202555537223816
19,959,0.04321030154824257,
20,1007,,0.033773358911275864
20,1007,0.035003241151571274,
21,1055,,0.0315399169921875
21,1055,0.03317055478692055,
22,1103,,0.03686675801873207
22,1103,0.05331847071647644,
23,1151,,0.059984780848026276
23,1151,0.03464369848370552,
24,1199,,0.045681245625019073
24,1199,0.039135951548814774,
25,1247,,0.028341906145215034
25,1247,0.0391610749065876,
26,1295,,0.026918210089206696
26,1295,0.04299391433596611,
27,1343,,0.12421497702598572
27,1343,0.05236683785915375,
28,1391,,0.017693664878606796
28,1391,0.031133493408560753,
29,1439,,0.02534758485853672
29,1439,0.04078354686498642,
30,1487,,0.08981871604919434
30,1487,0.06309127807617188,
31,1535,,0.11611208319664001
31,1535,0.038912609219551086,
32,1583,,0.018611576408147812
32,1583,0.030706172809004784,
33,1631,,0.030455686151981354
33,1631,0.06199835613369942,
34,1679,,0.01887207105755806
34,1679,0.046510789543390274,
35,1727,,0.1049586683511734
35,1727,0.03854319453239441,
36,1775,,0.015138346701860428
36,1775,0.03616582229733467,
37,1823,,0.028884902596473694
37,1823,0.05018554627895355,
38,1871,,0.020358439534902573
38,1871,0.04239184781908989,
39,1919,,0.11134526878595352
39,1919,0.039565980434417725,
40,1967,,0.017485056072473526
40,1967,0.036230187863111496,
41,2015,,0.0485595278441906
41,2015,0.043381765484809875,
42,2063,,0.025325864553451538
42,2063,0.040917348116636276,
43,2111,,0.013431508094072342
43,2111,0.030033225193619728,
44,2159,,0.022932305932044983
44,2159,0.04526236280798912,
45,2207,,0.013101449236273766
45,2207,0.037444084882736206,
46,2255,,0.012428767047822475
46,2255,0.04604892432689667,
47,2303,,0.01275563146919012
47,2303,0.04496895894408226,
48,2351,,0.029708482325077057
48,2351,0.035416532307863235,
49,2399,,0.01312287151813507
49,2399,0.040734123438596725,
50,2447,,0.10009109973907471
50,2447,0.05206017568707466,
51,2495,,0.05122268572449684
51,2495,0.05645805969834328,
52,2543,,0.024485383182764053
52,2543,0.04980788752436638,
53,2591,,0.11632037162780762
53,2591,0.046584129333496094,
54,2639,,0.047355834394693375
54,2639,0.041412364691495895,
55,2687,,0.014489319175481796
55,2687,0.03818361833691597,
56,2735,,0.02243548259139061
56,2735,0.04007214307785034,
57,2783,,0.02670903131365776
57,2783,0.04053915664553642,
58,2831,,0.014658132568001747
58,2831,0.037476420402526855,
59,2879,,0.024595243856310844
59,2879,0.04151188209652901,
60,2927,,0.025171570479869843
60,2927,0.039063796401023865,
61,2975,,0.0920976847410202
61,2975,0.04854479804635048,
62,3023,,0.02089175581932068
62,3023,0.039056986570358276,
63,3071,,0.026239726692438126
63,3071,0.0387633815407753,
64,3119,,0.029706262052059174
64,3119,0.04036298021674156,
65,3167,,0.10108527541160583
