epoch,step,train_loss_epoch,train_loss_step
0,47,,0.024770643562078476
0,47,0.042665764689445496,
1,95,,0.12844890356063843
1,95,0.04907118156552315,
2,143,,0.09748396277427673
2,143,0.04424506425857544,
3,191,,0.030945349484682083
3,191,0.04053607955574989,
4,239,,0.02826264500617981
4,239,0.04767173156142235,
5,287,,0.01920018345117569
5,287,0.047789424657821655,
6,335,,0.019636493176221848
6,335,0.04208912327885628,
7,383,,0.014915915206074715
7,383,0.041264068335294724,
8,431,,0.04381700977683067
8,431,0.04563495144248009,
9,479,,0.06016561761498451
9,479,0.03542671725153923,
10,527,,0.07964619249105453
10,527,0.04917695000767708,
11,575,,0.04632914811372757
11,575,0.05466892942786217,
12,623,,0.017865095287561417
12,623,0.04438690468668938,
13,671,,0.10384654253721237
13,671,0.04617488756775856,
14,719,,0.024457942694425583
14,719,0.043018888682127,
15,767,,0.021409302949905396
15,767,0.046630870550870895,
16,815,,0.015574414283037186
16,815,0.0373147688806057,
17,863,,0.01523240189999342
17,863,0.02911492995917797,
18,911,,0.022632069885730743
18,911,0.04213252291083336,
19,959,,0.020919010043144226
19,959,0.044793833047151566,
20,1007,,0.13938741385936737
20,1007,0.04083963856101036,
21,1055,,0.014696333557367325
21,1055,0.04252677783370018,
22,1103,,0.02466823346912861
22,1103,0.04288076236844063,
23,1151,,0.05842524766921997
23,1151,0.04873740300536156,
24,1199,,0.019312597811222076
24,1199,0.036848340183496475,
25,1247,,0.023930080235004425
25,1247,0.04528209939599037,
26,1295,,0.026183590292930603
26,1295,0.04493384435772896,
27,1343,,0.016270384192466736
27,1343,0.04031482711434364,
28,1391,,0.019600635394454002
28,1391,0.04757854714989662,
29,1439,,0.017574984580278397
29,1439,0.048998910933732986,
30,1487,,0.015506163239479065
30,1487,0.05121481418609619,
31,1535,,0.015765268355607986
31,1535,0.03792136162519455,
32,1583,,0.027596857398748398
32,1583,0.04480479657649994,
33,1631,,0.05694334954023361
33,1631,0.05069749429821968,
34,1679,,0.01974145695567131
34,1679,0.04245469346642494,
35,1727,,0.018566453829407692
35,1727,0.03392166644334793,
36,1775,,0.014946965500712395
36,1775,0.051031824201345444,
37,1823,,0.027083825320005417
37,1823,0.05438807234168053,
38,1871,,0.1381215900182724
38,1871,0.047720327973365784,
39,1919,,0.024137644097208977
39,1919,0.042032986879348755,
40,1967,,0.07476553320884705
40,1967,0.04114966839551926,
41,2015,,0.01761079579591751
41,2015,0.05079938471317291,
42,2063,,0.016187945380806923
42,2063,0.0519530214369297,
43,2111,,0.01340413372963667
43,2111,0.03149108216166496,
44,2159,,0.025918535888195038
44,2159,0.03959713503718376,
45,2207,,0.028092116117477417
45,2207,0.0327133908867836,
46,2255,,0.01968316175043583
46,2255,0.039819374680519104,
47,2303,,0.02302085980772972
47,2303,0.04942144826054573,
48,2351,,0.06851914525032043
48,2351,0.04822564125061035,
49,2399,,0.052499860525131226
49,2399,0.03405307978391647,
50,2447,,0.016457032412290573
50,2447,0.04608818516135216,
51,2495,,0.021584056317806244
51,2495,0.04009031876921654,
52,2543,,0.08442535996437073
52,2543,0.038443922996520996,
53,2591,,0.16981875896453857
53,2591,0.03694935888051987,
54,2639,,0.10877993702888489
54,2639,0.043488457798957825,
55,2687,,0.01999492570757866
55,2687,0.0446414016187191,
56,2735,,0.025944869965314865
56,2735,0.0349973663687706,
57,2783,,0.01254172995686531
57,2783,0.040196459740400314,
58,2831,,0.025297075510025024
58,2831,0.04797600209712982,
59,2879,,0.024742159992456436
59,2879,0.039681073278188705,
60,2927,,0.012260080315172672
60,2927,0.03390965238213539,
61,2975,,0.013608572073280811
61,2975,0.0625087171792984,
62,3023,,0.030924879014492035
62,3023,0.05161982774734497,
63,3071,,0.01824437640607357
63,3071,0.03501615300774574,
64,3119,,0.018948134034872055
64,3119,0.04188736900687218,
65,3167,,0.05739140510559082
65,3167,0.04381270706653595,
66,3215,,0.023030757904052734
66,3215,0.036059148609638214,
67,3263,,0.013461358845233917
67,3263,0.04037058725953102,
68,3311,,0.017920762300491333
68,3311,0.04591904580593109,
69,3359,,0.08629076182842255
69,3359,0.054077837616205215,
70,3407,,0.020998269319534302
70,3407,0.03869372233748436,
71,3455,,0.11762182414531708
71,3455,0.0390961579978466,
72,3503,,0.03597358986735344
72,3503,0.041920971125364304,
73,3551,,0.017393017187714577
73,3551,0.047765593975782394,
74,3599,,0.021651022136211395
74,3599,0.048659950494766235,
75,3647,,0.027147065848112106
75,3647,0.04172879457473755,
76,3695,,0.11175015568733215
76,3695,0.05118471756577492,
77,3743,,0.020662209019064903
77,3743,0.04486075043678284,
78,3791,,0.029082197695970535
78,3791,0.038900040090084076,
79,3839,,0.022588178515434265
79,3839,0.04002958908677101,
80,3887,,0.025914184749126434
80,3887,0.046007975935935974,
81,3935,,0.10694360733032227
81,3935,0.047159623354673386,
82,3983,,0.014526722952723503
82,3983,0.03931622579693794,
83,4031,,0.014151970855891705
83,4031,0.041772011667490005,
84,4079,,0.025735385715961456
84,4079,0.05048399046063423,
85,4127,,0.014345509931445122
85,4127,0.03527919203042984,
86,4175,,0.012780800461769104
86,4175,0.042775481939315796,
87,4223,,0.10608410835266113
87,4223,0.04177502915263176,
88,4271,,0.015378246083855629
88,4271,0.03915270417928696,
89,4319,,0.0930052399635315
89,4319,0.04050059989094734,
90,4367,,0.025430813431739807
90,4367,0.03564178943634033,
91,4415,,0.020722057670354843
91,4415,0.050243522971868515,
92,4463,,0.02962399646639824
92,4463,0.04567236080765724,
93,4511,,0.05839027464389801
93,4511,0.04502185806632042,
94,4559,,0.07103310525417328
94,4559,0.03981191664934158,
95,4607,,0.07563215494155884
95,4607,0.04121321812272072,
96,4655,,0.046636052429676056
96,4655,0.04060347005724907,
97,4703,,0.022581808269023895
97,4703,0.0411088652908802,
98,4751,,0.17226099967956543
98,4751,0.039988454431295395,
99,4799,,0.013182390481233597
99,4799,0.03787587955594063,
100,4847,,0.07419410347938538
100,4847,0.03883843868970871,
101,4895,,0.01595400832593441
101,4895,0.030449101701378822,
102,4943,,0.021818343549966812
102,4943,0.05006667599081993,
103,4991,,0.14247535169124603
103,4991,0.04229443892836571,
104,5039,,0.01759311743080616
104,5039,0.039165738970041275,
105,5087,,0.01421277690678835
105,5087,0.04070695862174034,
106,5135,,0.10568676888942719
106,5135,0.0499630868434906,
107,5183,,0.030649740248918533
107,5183,0.03748701140284538,
108,5231,,0.01328066922724247
108,5231,0.03338250145316124,
109,5279,,0.04797571152448654
109,5279,0.042703717947006226,
110,5327,,0.025311030447483063
110,5327,0.04242438077926636,
111,5375,,0.04478859901428223
111,5375,0.04642137885093689,
112,5423,,0.019640283659100533
112,5423,0.03805871680378914,
113,5471,,0.025911511853337288
113,5471,0.04194818437099457,
114,5519,,0.06810376048088074
114,5519,0.04360021650791168,
115,5567,,0.012606402859091759
115,5567,0.03788961470127106,
116,5615,,0.11354898661375046
116,5615,0.048446282744407654,
117,5663,,0.09085600823163986
117,5663,0.05400469899177551,
