epoch,step,train_loss_epoch,train_loss_step
0,47,,0.031507670879364014
0,47,0.044258203357458115,
1,95,,0.09420353174209595
1,95,0.05049455165863037,
2,143,,0.015601228922605515
2,143,0.0538499616086483,
3,191,,0.10167311131954193
3,191,0.04323466122150421,
4,239,,0.015426227822899818
4,239,0.038717273622751236,
5,287,,0.036316514015197754
5,287,0.03791589289903641,
6,335,,0.040301114320755005
6,335,0.037310127168893814,
7,383,,0.07260829210281372
7,383,0.05208119750022888,
8,431,,0.02043440192937851
8,431,0.03932135924696922,
9,479,,0.1304776668548584
9,479,0.03932913392782211,
10,527,,0.018494922667741776
10,527,0.04687466844916344,
11,575,,0.02640940621495247
11,575,0.043889086693525314,
12,623,,0.021200234070420265
12,623,0.045320842415094376,
13,671,,0.05898673087358475
13,671,0.040348704904317856,
14,719,,0.021304672583937645
14,719,0.04611608386039734,
15,767,,0.021099215373396873
15,767,0.04814867675304413,
16,815,,0.02747311443090439
16,815,0.03885539621114731,
17,863,,0.025582576170563698
17,863,0.04294924437999725,
18,911,,0.02097204327583313
18,911,0.05327326059341431,
19,959,,0.03455374389886856
19,959,0.04590347409248352,
20,1007,,0.012857233174145222
20,1007,0.0533776618540287,
21,1055,,0.222907155752182
21,1055,0.05394529923796654,
22,1103,,0.02667267806828022
22,1103,0.04436306655406952,
23,1151,,0.018045814707875252
23,1151,0.051693145185709,
24,1199,,0.08121369779109955
24,1199,0.04930995777249336,
25,1247,,0.019714638590812683
25,1247,0.03995957598090172,
26,1295,,0.022677388042211533
26,1295,0.0440814234316349,
27,1343,,0.035734325647354126
27,1343,0.033988434821367264,
28,1391,,0.013778194785118103
28,1391,0.040682967752218246,
29,1439,,0.06637866795063019
29,1439,0.04310932755470276,
30,1487,,0.04637584090232849
30,1487,0.04201200604438782,
31,1535,,0.025037050247192383
31,1535,0.03633386641740799,
32,1583,,0.09077943861484528
32,1583,0.0399211123585701,
33,1631,,0.026063118129968643
33,1631,0.05536917969584465,
34,1679,,0.023920290172100067
34,1679,0.0386350117623806,
35,1727,,0.015567739494144917
35,1727,0.056189995259046555,
36,1775,,0.027719419449567795
36,1775,0.0537710003554821,
37,1823,,0.02187197282910347
37,1823,0.03576991334557533,
38,1871,,0.02660452574491501
38,1871,0.0328032486140728,
39,1919,,0.034042853862047195
39,1919,0.04790046811103821,
40,1967,,0.021342717111110687
40,1967,0.03475585952401161,
41,2015,,0.06824027746915817
41,2015,0.042757343500852585,
42,2063,,0.01508340798318386
42,2063,0.045504871755838394,
43,2111,,0.01498519629240036
43,2111,0.06645900756120682,
44,2159,,0.01928151398897171
44,2159,0.03475933521986008,
45,2207,,0.028508691117167473
45,2207,0.033350490033626556,
46,2255,,0.04284903407096863
46,2255,0.04109237715601921,
47,2303,,0.11839219927787781
47,2303,0.0313987098634243,
48,2351,,0.013911275193095207
48,2351,0.041214313358068466,
49,2399,,0.028094982728362083
49,2399,0.052907805889844894,
50,2447,,0.024262819439172745
50,2447,0.054109152406454086,
51,2495,,0.03038833849132061
51,2495,0.045817285776138306,
52,2543,,0.03265119716525078
52,2543,0.039114050567150116,
53,2591,,0.015037150122225285
53,2591,0.056926239281892776,
54,2639,,0.012890808284282684
54,2639,0.03132637217640877,
55,2687,,0.08585380017757416
55,2687,0.04733240231871605,
56,2735,,0.10373508185148239
56,2735,0.041178006678819656,
57,2783,,0.017095454037189484
57,2783,0.045386139303445816,
58,2831,,0.017084700986742973
58,2831,0.04168892279267311,
59,2879,,0.08034271746873856
59,2879,0.04612460732460022,
60,2927,,0.17734383046627045
60,2927,0.0486590676009655,
61,2975,,0.019741278141736984
61,2975,0.04270670935511589,
62,3023,,0.1417529582977295
62,3023,0.046185076236724854,
63,3071,,0.09500256180763245
63,3071,0.05001955106854439,
64,3119,,0.021164070814847946
64,3119,0.04240928962826729,
65,3167,,0.02063358947634697
65,3167,0.056692976504564285,
66,3215,,0.07371155172586441
66,3215,0.0506456084549427,
67,3263,,0.015049222856760025
67,3263,0.036192115396261215,
68,3311,,0.041951362043619156
68,3311,0.0461135171353817,
69,3359,,0.023614779114723206
69,3359,0.043611351400613785,
70,3407,,0.024027058854699135
70,3407,0.050374507904052734,
71,3455,,0.08065472543239594
71,3455,0.05223223567008972,
72,3503,,0.06226254999637604
72,3503,0.04520075023174286,
73,3551,,0.02172601781785488
73,3551,0.04499851539731026,
74,3599,,0.026220178231596947
74,3599,0.041260797530412674,
75,3647,,0.020201856270432472
75,3647,0.04235943779349327,
76,3695,,0.013758975081145763
76,3695,0.04163151606917381,
77,3743,,0.013791011646389961
77,3743,0.036020372062921524,
78,3791,,0.014960194006562233
78,3791,0.047478705644607544,
79,3839,,0.024964049458503723
79,3839,0.04233357310295105,
80,3887,,0.01456533931195736
80,3887,0.04963597282767296,
81,3935,,0.03434713929891586
81,3935,0.04028977081179619,
82,3983,,0.019909463822841644
82,3983,0.03989166393876076,
83,4031,,0.10708163678646088
83,4031,0.046386733651161194,
84,4079,,0.1045178472995758
84,4079,0.04603712633252144,
85,4127,,0.10098430514335632
85,4127,0.04929858073592186,
86,4175,,0.12038673460483551
86,4175,0.04801375791430473,
87,4223,,0.07642155885696411
87,4223,0.04743637144565582,
88,4271,,0.01367955282330513
88,4271,0.032983820885419846,
89,4319,,0.033497944474220276
89,4319,0.04170006141066551,
90,4367,,0.01375191193073988
90,4367,0.03658885881304741,
91,4415,,0.019156482070684433
91,4415,0.036782845854759216,
92,4463,,0.02590843290090561
92,4463,0.035589974373579025,
93,4511,,0.05929180979728699
93,4511,0.04798391833901405,
94,4559,,0.019992614164948463
94,4559,0.05436744913458824,
95,4607,,0.014363626018166542
95,4607,0.03714438155293465,
96,4655,,0.0798637866973877
96,4655,0.05359916761517525,
97,4703,,0.02732401341199875
97,4703,0.04843482747673988,
98,4751,,0.021854078397154808
98,4751,0.036186616867780685,
99,4799,,0.023351486772298813
99,4799,0.027281509712338448,
100,4847,,0.023647181689739227
100,4847,0.045845940709114075,
101,4895,,0.0243635606020689
101,4895,0.04089833423495293,
102,4943,,0.011647072620689869
102,4943,0.037595584988594055,
103,4991,,0.025352628901600838
103,4991,0.03806552290916443,
104,5039,,0.05317642539739609
104,5039,0.042442575097084045,
105,5087,,0.014183489605784416
105,5087,0.03835000842809677,
106,5135,,0.0631462037563324
106,5135,0.03333955630660057,
107,5183,,0.036301832646131516
107,5183,0.04022509232163429,
108,5231,,0.015525207854807377
108,5231,0.04368763044476509,
109,5279,,0.028176097199320793
109,5279,0.04563145712018013,
110,5327,,0.013619106262922287
110,5327,0.04126042500138283,
111,5375,,0.027289561927318573
111,5375,0.03719362989068031,
112,5423,,0.14150190353393555
112,5423,0.045782726258039474,
113,5471,,0.02209441363811493
113,5471,0.04172121360898018,
114,5519,,0.01243854220956564
114,5519,0.051374439150094986,
115,5567,,0.0296845231205225
115,5567,0.044307488948106766,
116,5615,,0.02461002767086029
