epoch,step,train_loss_epoch,train_loss_step
0,47,,0.024396857246756554
0,47,0.03956106677651405,
1,95,,0.022517219185829163
1,95,0.04564448818564415,
2,143,,0.0548827089369297
2,143,0.04578421637415886,
3,191,,0.04123420640826225
3,191,0.04393000528216362,
4,239,,0.013067875057458878
4,239,0.0356617346405983,
5,287,,0.14135515689849854
5,287,0.052904386073350906,
6,335,,0.015514174476265907
6,335,0.04766673967242241,
7,383,,0.015146536752581596
7,383,0.04073634743690491,
8,431,,0.05338285118341446
8,431,0.038219500333070755,
9,479,,0.024059787392616272
9,479,0.047382209450006485,
10,527,,0.013314418494701385
10,527,0.04681045934557915,
11,575,,0.016383543610572815
11,575,0.04728582873940468,
12,623,,0.025366120040416718
12,623,0.03878713771700859,
13,671,,0.09632331877946854
13,671,0.04429899528622627,
14,719,,0.10481774806976318
14,719,0.039088502526283264,
15,767,,0.012592438608407974
15,767,0.03944944590330124,
16,815,,0.09816329181194305
16,815,0.0480094812810421,
17,863,,0.02514384686946869
17,863,0.0432133823633194,
18,911,,0.016670074313879013
18,911,0.045020703226327896,
19,959,,0.0729791447520256
19,959,0.044062137603759766,
20,1007,,0.01609351485967636
20,1007,0.0493837334215641,
21,1055,,0.014673429541289806
21,1055,0.041362058371305466,
22,1103,,0.03493017703294754
22,1103,0.05545318126678467,
23,1151,,0.050818491727113724
23,1151,0.04496840760111809,
24,1199,,0.15225541591644287
24,1199,0.04277130961418152,
25,1247,,0.13481739163398743
25,1247,0.06192108616232872,
26,1295,,0.014120396226644516
26,1295,0.04075106605887413,
27,1343,,0.02649282105267048
27,1343,0.038918010890483856,
28,1391,,0.018697179853916168
28,1391,0.04233558103442192,
29,1439,,0.11250807344913483
29,1439,0.052187155932188034,
30,1487,,0.025767315179109573
30,1487,0.041346464306116104,
31,1535,,0.014643720351159573
31,1535,0.03679090738296509,
32,1583,,0.014312460087239742
32,1583,0.05254431441426277,
33,1631,,0.022247979417443275
33,1631,0.04467649757862091,
34,1679,,0.0226241797208786
34,1679,0.04433416947722435,
35,1727,,0.018818235024809837
35,1727,0.04635440930724144,
36,1775,,0.053754888474941254
36,1775,0.04150331765413284,
37,1823,,0.020378675311803818
37,1823,0.03626713529229164,
38,1871,,0.02361687831580639
38,1871,0.04110444709658623,
39,1919,,0.021682601422071457
39,1919,0.03501860424876213,
40,1967,,0.01710091531276703
40,1967,0.04317948594689369,
41,2015,,0.0343279205262661
41,2015,0.04804369807243347,
42,2063,,0.015331931412220001
42,2063,0.05806709825992584,
43,2111,,0.013931948691606522
43,2111,0.05132203921675682,
44,2159,,0.020932907238602638
44,2159,0.04330470785498619,
45,2207,,0.02853536605834961
45,2207,0.036107275635004044,
46,2255,,0.015090743079781532
46,2255,0.04204672574996948,
47,2303,,0.034686923027038574
47,2303,0.05114711448550224,
48,2351,,0.023956764489412308
48,2351,0.03181353583931923,
49,2399,,0.016327176243066788
49,2399,0.048681795597076416,
50,2447,,0.03153154253959656
50,2447,0.03458496183156967,
51,2495,,0.0255871769040823
51,2495,0.04906493425369263,
52,2543,,0.11861418932676315
52,2543,0.040646761655807495,
53,2591,,0.02964184433221817
53,2591,0.042280808091163635,
54,2639,,0.013730350881814957
54,2639,0.04532240331172943,
55,2687,,0.023734647780656815
55,2687,0.046163637191057205,
56,2735,,0.014824213460087776
56,2735,0.038427770137786865,
57,2783,,0.028261184692382812
57,2783,0.051631178706884384,
58,2831,,0.02536938339471817
58,2831,0.0399351641535759,
59,2879,,0.031378380954265594
59,2879,0.04214909300208092,
60,2927,,0.013158912770450115
60,2927,0.040952589362859726,
61,2975,,0.08677609264850616
61,2975,0.03489828109741211,
62,3023,,0.10008125007152557
62,3023,0.05765857920050621,
63,3071,,0.022180795669555664
63,3071,0.04661645367741585,
64,3119,,0.16372168064117432
64,3119,0.061662930995225906,
65,3167,,0.025221887975931168
65,3167,0.0414067842066288,
66,3215,,0.025191500782966614
66,3215,0.04245200753211975,
67,3263,,0.023880548775196075
67,3263,0.046368036419153214,
68,3311,,0.061033736914396286
68,3311,0.05254948511719704,
69,3359,,0.014101365581154823
69,3359,0.03536034747958183,
70,3407,,0.017610302194952965
70,3407,0.04716455563902855,
71,3455,,0.015504242852330208
71,3455,0.051372136920690536,
72,3503,,0.01341568399220705
72,3503,0.031901370733976364,
73,3551,,0.012782753445208073
73,3551,0.04793223738670349,
74,3599,,0.014226170256733894
74,3599,0.033699069172143936,
75,3647,,0.020044736564159393
75,3647,0.03649870678782463,
76,3695,,0.11325450986623764
76,3695,0.041720226407051086,
77,3743,,0.019666504114866257
77,3743,0.05005442723631859,
78,3791,,0.07825101166963577
78,3791,0.04505373537540436,
79,3839,,0.11329539865255356
79,3839,0.04520699754357338,
80,3887,,0.020379390567541122
80,3887,0.04438115283846855,
81,3935,,0.014202688820660114
81,3935,0.040202438831329346,
82,3983,,0.013995906338095665
82,3983,0.04970243573188782,
83,4031,,0.03585927188396454
83,4031,0.04463024437427521,
84,4079,,0.028480838984251022
84,4079,0.040789712220430374,
85,4127,,0.013786111027002335
85,4127,0.040796421468257904,
86,4175,,0.022059554234147072
86,4175,0.04277777299284935,
87,4223,,0.016195304691791534
87,4223,0.03368952497839928,
88,4271,,0.03034716472029686
88,4271,0.04144459590315819,
89,4319,,0.04560677334666252
89,4319,0.0380680188536644,
90,4367,,0.01833430677652359
90,4367,0.044234126806259155,
91,4415,,0.02592279762029648
91,4415,0.03369486704468727,
92,4463,,0.07573491334915161
92,4463,0.03314534202218056,
93,4511,,0.026068497449159622
93,4511,0.04542884603142738,
94,4559,,0.03457067906856537
94,4559,0.03757695481181145,
95,4607,,0.013644741848111153
95,4607,0.04086257889866829,
96,4655,,0.023624349385499954
96,4655,0.0396420918405056,
97,4703,,0.01824318617582321
97,4703,0.04200068116188049,
98,4751,,0.027067113667726517
98,4751,0.047054704278707504,
99,4799,,0.01832100749015808
99,4799,0.034994062036275864,
100,4847,,0.10591469705104828
100,4847,0.04574739560484886,
101,4895,,0.02531474083662033
101,4895,0.04828406870365143,
102,4943,,0.01330660842359066
102,4943,0.033928561955690384,
103,4991,,0.014616909436881542
103,4991,0.03509661555290222,
104,5039,,0.013903819024562836
104,5039,0.03985796868801117,
105,5087,,0.1229986622929573
105,5087,0.04832424595952034,
106,5135,,0.018398959189653397
106,5135,0.03886778652667999,
107,5183,,0.02649979665875435
107,5183,0.042895376682281494,
108,5231,,0.044728733599185944
108,5231,0.040366802364587784,
109,5279,,0.06893479079008102
109,5279,0.04970620945096016,
110,5327,,0.01842924952507019
110,5327,0.04067756608128548,
111,5375,,0.09209427237510681
111,5375,0.044300589710474014,
112,5423,,0.02064204029738903
112,5423,0.04083842411637306,
113,5471,,0.028597896918654442
113,5471,0.04053447023034096,
114,5519,,0.024336187168955803
114,5519,0.04785297438502312,
115,5567,,0.04004499688744545
115,5567,0.040854502469301224,
116,5615,,0.012258258648216724
116,5615,0.035189028829336166,
117,5663,,0.0239691324532032
117,5663,0.040250737220048904,
118,5711,,0.018022790551185608
118,5711,0.034658368676900864,
119,5759,,0.019243380054831505
119,5759,0.04285063222050667,
120,5807,,0.013302707113325596
120,5807,0.03548523783683777,
121,5855,,0.027896622195839882
121,5855,0.038292933255434036,
122,5903,,0.028222253546118736
122,5903,0.038730327039957047,
123,5951,,0.09186994284391403
123,5951,0.04480259120464325,
124,5999,,0.012868009507656097
124,5999,0.042704228311777115,
125,6047,,0.04450669512152672
125,6047,0.0387994758784771,
126,6095,,0.028088390827178955
126,6095,0.04365713894367218,
127,6143,,0.02383495680987835
127,6143,0.04409462586045265,
128,6191,,0.023996220901608467
128,6191,0.04290488734841347,
129,6239,,0.012866095639765263
129,6239,0.03851509466767311,
130,6287,,0.019946375861763954
130,6287,0.038122497498989105,
131,6335,,0.016239415854215622
131,6335,0.04404795169830322,
132,6383,,0.0225425586104393
132,6383,0.038706135004758835,
133,6431,,0.026646601036190987
133,6431,0.052016619592905045,
134,6479,,0.02324363775551319
134,6479,0.04016340896487236,
135,6527,,0.02299363538622856
135,6527,0.03249797597527504,
136,6575,,0.09021978825330734
136,6575,0.041868116706609726,
137,6623,,0.01454042550176382
137,6623,0.045145247131586075,
138,6671,,0.01770208217203617
138,6671,0.041508737951517105,
139,6719,,0.06464023888111115
139,6719,0.04191501811146736,
140,6767,,0.012475250288844109
140,6767,0.03938880190253258,
141,6815,,0.04471805319190025
141,6815,0.03571707382798195,
142,6863,,0.049947697669267654
142,6863,0.040927596390247345,
143,6911,,0.013804403133690357
143,6911,0.03893379494547844,
144,6959,,0.0205526202917099
144,6959,0.03394545987248421,
145,7007,,0.026979630813002586
145,7007,0.04172682389616966,
146,7055,,0.022656217217445374
146,7055,0.031423017382621765,
147,7103,,0.049285292625427246
147,7103,0.04872902110219002,
148,7151,,0.11509659886360168
148,7151,0.0373421311378479,
149,7199,,0.01671275496482849
149,7199,0.04275559261441231,
150,7247,,0.01162028033286333
150,7247,0.037169065326452255,
151,7295,,0.08369331061840057
151,7295,0.038612592965364456,
152,7343,,0.05679876729846001
152,7343,0.027587348595261574,
153,7391,,0.01705041155219078
153,7391,0.049754977226257324,
154,7439,,0.020539721474051476
154,7439,0.03825737163424492,
155,7487,,0.012883652001619339
155,7487,0.03511041775345802,
156,7535,,0.05148354917764664
156,7535,0.04767545685172081,
157,7583,,0.0329396054148674
157,7583,0.03845216706395149,
158,7631,,0.030489373952150345
158,7631,0.034611061215400696,
159,7679,,0.01777026057243347
159,7679,0.04408958554267883,
160,7727,,0.025456801056861877
160,7727,0.049183011054992676,
161,7775,,0.026571542024612427
161,7775,0.039079099893569946,
162,7823,,0.10587850958108902
162,7823,0.04144275560975075,
163,7871,,0.020441561937332153
163,7871,0.03970220312476158,
164,7919,,0.018300846219062805
164,7919,0.0419917106628418,
165,7967,,0.01966196484863758
165,7967,0.038860347121953964,
166,8015,,0.016807250678539276
166,8015,0.04779304563999176,
167,8063,,0.013705642893910408
167,8063,0.036733996123075485,
168,8111,,0.023922527208924294
168,8111,0.0394614152610302,
169,8159,,0.012980422005057335
169,8159,0.03615767881274223,
170,8207,,0.043763477355241776
170,8207,0.04082025960087776,
171,8255,,0.013751907274127007
171,8255,0.04603790119290352,
172,8303,,0.013917375355958939
172,8303,0.042947787791490555,
173,8351,,0.02463691309094429
173,8351,0.04907017573714256,
174,8399,,0.11007784307003021
174,8399,0.042491283267736435,
175,8447,,0.018394213169813156
175,8447,0.041741278022527695,
176,8495,,0.021400049328804016
176,8495,0.03768346458673477,
177,8543,,0.022389408200979233
177,8543,0.030450208112597466,
178,8591,,0.10254991054534912
178,8591,0.0400690995156765,
179,8639,,0.09349013864994049
179,8639,0.02916690893471241,
180,8687,,0.02868802100419998
180,8687,0.040092211216688156,
181,8735,,0.018450509756803513
181,8735,0.026485562324523926,
182,8783,,0.023406410589814186
182,8783,0.04191390052437782,
183,8831,,0.10765578597784042
183,8831,0.03872174769639969,
184,8879,,0.023036735132336617
184,8879,0.03372643515467644,
185,8927,,0.01803753897547722
185,8927,0.036376290023326874,
186,8975,,0.10163041949272156
186,8975,0.03179900720715523,
187,9023,,0.011587975546717644
187,9023,0.039393648505210876,
188,9071,,0.08258874714374542
188,9071,0.04173716902732849,
189,9119,,0.10120244324207306
189,9119,0.035841528326272964,
190,9167,,0.06781582534313202
190,9167,0.03809376060962677,
191,9215,,0.01335078664124012
191,9215,0.038221538066864014,
192,9263,,0.014090200886130333
192,9263,0.0331529900431633,
193,9311,,0.01208308432251215
193,9311,0.03954022005200386,
194,9359,,0.10453920066356659
194,9359,0.040198031812906265,
195,9407,,0.043769434094429016
195,9407,0.04196033254265785,
196,9455,,0.0283016599714756
196,9455,0.038535915315151215,
197,9503,,0.013541621156036854
197,9503,0.03895604982972145,
198,9551,,0.02674970030784607
198,9551,0.03933556377887726,
199,9599,,0.11690636724233627
199,9599,0.04940491542220116,
200,9647,,0.015623006969690323
200,9647,0.03811587393283844,
201,9695,,0.10490453243255615
201,9695,0.03876915201544762,
202,9743,,0.011874513700604439
202,9743,0.03672834858298302,
203,9791,,0.023306451737880707
203,9791,0.03342015668749809,
204,9839,,0.01296989619731903
204,9839,0.04218362644314766,
205,9887,,0.021596848964691162
205,9887,0.03751349449157715,
206,9935,,0.015564295463263988
206,9935,0.038132257759571075,
207,9983,,0.017095062881708145
207,9983,0.037839408963918686,
208,10031,,0.011748474091291428
208,10031,0.04088151082396507,
209,10079,,0.021521126851439476
209,10079,0.03785669803619385,
210,10127,,0.015965506434440613
210,10127,0.03602734953165054,
211,10175,,0.020962044596672058
211,10175,0.044080089777708054,
212,10223,,0.07721836864948273
212,10223,0.04345705732703209,
213,10271,,0.016755361109972
213,10271,0.028172850608825684,
214,10319,,0.011224517598748207
214,10319,0.04054674506187439,
215,10367,,0.0122642507776618
215,10367,0.04187036678195,
216,10415,,0.01958378404378891
216,10415,0.041196975857019424,
217,10463,,0.022891584783792496
217,10463,0.034100428223609924,
218,10511,,0.02039744332432747
218,10511,0.04094875976443291,
219,10559,,0.11448012292385101
219,10559,0.03325190395116806,
220,10607,,0.06838048994541168
220,10607,0.047386039048433304,
221,10655,,0.010991018265485764
221,10655,0.03515639901161194,
222,10703,,0.06105773150920868
222,10703,0.030492037534713745,
223,10751,,0.1276710033416748
223,10751,0.03929724544286728,
224,10799,,0.01170550100505352
224,10799,0.03392648696899414,
225,10847,,0.021657580509781837
225,10847,0.03985874727368355,
226,10895,,0.026853080838918686
226,10895,0.031152090057730675,
227,10943,,0.025589318946003914
227,10943,0.034225329756736755,
228,10991,,0.013333974406123161
228,10991,0.04440644383430481,
229,11039,,0.02583819255232811
229,11039,0.03536427393555641,
230,11087,,0.011398461647331715
230,11087,0.03762195631861687,
231,11135,,0.01795898750424385
231,11135,0.03655702993273735,
232,11183,,0.015930011868476868
232,11183,0.0288762878626585,
233,11231,,0.023507945239543915
