epoch,step,train_loss_epoch,train_loss_step
0,47,,0.018284570425748825
0,47,0.039406560361385345,
1,95,,0.019686629995703697
1,95,0.04372217878699303,
2,143,,0.0252518393099308
2,143,0.04763352498412132,
3,191,,0.08983149379491806
3,191,0.041420258581638336,
4,239,,0.07591810822486877
4,239,0.05048085376620293,
5,287,,0.0877610296010971
5,287,0.05095594748854637,
6,335,,0.020221609622240067
6,335,0.042507633566856384,
7,383,,0.09725615382194519
7,383,0.034530702978372574,
8,431,,0.016377445310354233
8,431,0.04921608045697212,
9,479,,0.02761811576783657
9,479,0.054212093353271484,
10,527,,0.11069352924823761
10,527,0.04208989068865776,
11,575,,0.011919444426894188
11,575,0.04096345975995064,
12,623,,0.02247503399848938
12,623,0.04220270738005638,
13,671,,0.11206479370594025
13,671,0.045520540326833725,
14,719,,0.02916802652180195
14,719,0.038194578140974045,
15,767,,0.013887426815927029
15,767,0.043742984533309937,
16,815,,0.0562126450240612
16,815,0.03790326416492462,
17,863,,0.014818946830928326
17,863,0.03041931241750717,
18,911,,0.05247124284505844
18,911,0.052773743867874146,
19,959,,0.031172173097729683
19,959,0.04402667284011841,
20,1007,,0.0219684150069952
20,1007,0.0421157069504261,
21,1055,,0.01577458530664444
21,1055,0.04225293919444084,
22,1103,,0.015205462463200092
22,1103,0.05176832154393196,
23,1151,,0.021519839763641357
23,1151,0.043915923684835434,
24,1199,,0.018117215484380722
24,1199,0.04294207692146301,
25,1247,,0.02094288356602192
25,1247,0.05328115448355675,
26,1295,,0.0233153123408556
26,1295,0.0421958826482296,
27,1343,,0.05454834923148155
27,1343,0.04788406565785408,
28,1391,,0.012105313129723072
28,1391,0.04612668976187706,
29,1439,,0.03214941918849945
29,1439,0.03994394466280937,
30,1487,,0.013685626909136772
30,1487,0.05411467328667641,
31,1535,,0.10378989577293396
31,1535,0.05648086965084076,
32,1583,,0.01637979783117771
32,1583,0.034062471240758896,
33,1631,,0.07693802565336227
33,1631,0.04904802516102791,
34,1679,,0.015443738549947739
34,1679,0.04321304336190224,
35,1727,,0.02335260808467865
35,1727,0.04549568518996239,
36,1775,,0.029805433005094528
36,1775,0.03298571705818176,
37,1823,,0.0867886021733284
37,1823,0.04522909224033356,
38,1871,,0.12948113679885864
38,1871,0.04736241325736046,
39,1919,,0.02616264671087265
39,1919,0.03716636076569557,
40,1967,,0.03453690558671951
40,1967,0.04319128021597862,
41,2015,,0.019251737743616104
41,2015,0.04842089116573334,
42,2063,,0.01926490105688572
42,2063,0.056598108261823654,
43,2111,,0.01404031366109848
43,2111,0.044780854135751724,
44,2159,,0.026397783309221268
44,2159,0.030235858634114265,
45,2207,,0.018250450491905212
45,2207,0.050664857029914856,
46,2255,,0.0321681872010231
46,2255,0.04766242206096649,
47,2303,,0.02917780727148056
47,2303,0.04403845593333244,
48,2351,,0.026759073138237
48,2351,0.053317841142416,
49,2399,,0.018005698919296265
49,2399,0.04291248694062233,
50,2447,,0.021340850740671158
50,2447,0.05486474931240082,
51,2495,,0.016477536410093307
51,2495,0.044011879712343216,
52,2543,,0.10907962173223495
52,2543,0.047777265310287476,
53,2591,,0.027425669133663177
53,2591,0.04367953911423683,
54,2639,,0.028751639649271965
54,2639,0.03605608269572258,
55,2687,,0.03513574227690697
55,2687,0.04073144122958183,
56,2735,,0.05835319310426712
56,2735,0.04355321452021599,
57,2783,,0.03659869357943535
57,2783,0.04689687117934227,
58,2831,,0.018421035259962082
58,2831,0.034595757722854614,
59,2879,,0.018165532499551773
59,2879,0.03818852826952934,
60,2927,,0.06645186245441437
60,2927,0.04018059000372887,
61,2975,,0.018677322193980217
61,2975,0.03814578056335449,
62,3023,,0.013835196383297443
62,3023,0.04073559120297432,
63,3071,,0.013416629284620285
63,3071,0.04944958910346031,
64,3119,,0.04551791772246361
64,3119,0.04694918915629387,
65,3167,,0.103453129529953
65,3167,0.04696672037243843,
66,3215,,0.03594354912638664
66,3215,0.04581689462065697,
67,3263,,0.02966003492474556
67,3263,0.04156528413295746,
68,3311,,0.022827133536338806
68,3311,0.04170183837413788,
69,3359,,0.048282209783792496
69,3359,0.03520495817065239,
70,3407,,0.0570620559155941
70,3407,0.03144397959113121,
71,3455,,0.028012137860059738
71,3455,0.053401123732328415,
72,3503,,0.1102382093667984
72,3503,0.04984598234295845,
73,3551,,0.0746145099401474
73,3551,0.034597188234329224,
74,3599,,0.01690475270152092
74,3599,0.03870897740125656,
75,3647,,0.016732167452573776
75,3647,0.051341813057661057,
76,3695,,0.02264658361673355
76,3695,0.04620971158146858,
77,3743,,0.04489422217011452
77,3743,0.04055709019303322,
78,3791,,0.11460615694522858
78,3791,0.04776005074381828,
79,3839,,0.020032182335853577
79,3839,0.045686814934015274,
80,3887,,0.12457109242677689
80,3887,0.04720255360007286,
81,3935,,0.11506522446870804
81,3935,0.04166271910071373,
82,3983,,0.09732737392187119
82,3983,0.04633670672774315,
83,4031,,0.1687696874141693
83,4031,0.04580976441502571,
84,4079,,0.018131203949451447
84,4079,0.05061332508921623,
85,4127,,0.13030287623405457
85,4127,0.05057996138930321,
86,4175,,0.014877090230584145
86,4175,0.04299373924732208,
87,4223,,0.015620898455381393
87,4223,0.04185548052191734,
