epoch,step,train_loss_epoch,train_loss_step
0,47,,0.013275591656565666
0,47,0.057354480028152466,
1,95,,0.034435149282217026
1,95,0.037542376667261124,
2,143,,0.01846684329211712
2,143,0.05509120225906372,
3,191,,0.01865241676568985
3,191,0.052428800612688065,
4,239,,0.03020854853093624
4,239,0.04683275520801544,
5,287,,0.023751772940158844
5,287,0.04217701032757759,
6,335,,0.016830265522003174
6,335,0.033214882016181946,
7,383,,0.03286297619342804
7,383,0.052464503794908524,
8,431,,0.029286416247487068
8,431,0.04041523113846779,
9,479,,0.030812907963991165
9,479,0.046527791768312454,
10,527,,0.028792064636945724
10,527,0.058691639453172684,
11,575,,0.04163677990436554
11,575,0.04455706849694252,
12,623,,0.10931593179702759
12,623,0.04247577115893364,
13,671,,0.020839566364884377
13,671,0.041863441467285156,
14,719,,0.03149417042732239
14,719,0.04387791454792023,
15,767,,0.027485469356179237
15,767,0.04609355702996254,
16,815,,0.11609643697738647
16,815,0.04521595314145088,
17,863,,0.013037762604653835
17,863,0.046062860637903214,
18,911,,0.027272509410977364
18,911,0.045080382376909256,
19,959,,0.01979942061007023
19,959,0.041490159928798676,
20,1007,,0.026475604623556137
20,1007,0.03691967576742172,
21,1055,,0.02714475803077221
21,1055,0.04268752038478851,
22,1103,,0.03704531490802765
22,1103,0.06184582784771919,
23,1151,,0.024399656802415848
23,1151,0.04628083482384682,
24,1199,,0.01251598447561264
24,1199,0.05223087966442108,
25,1247,,0.029660604894161224
25,1247,0.042975421994924545,
26,1295,,0.023817554116249084
26,1295,0.03571335971355438,
27,1343,,0.021309345960617065
27,1343,0.03511200100183487,
28,1391,,0.09162002801895142
28,1391,0.04512212052941322,
29,1439,,0.014287496916949749
29,1439,0.047349680215120316,
30,1487,,0.08209060877561569
30,1487,0.04415109381079674,
31,1535,,0.018175235018134117
31,1535,0.056885987520217896,
32,1583,,0.02243642881512642
32,1583,0.04553299769759178,
33,1631,,0.014575360342860222
33,1631,0.048312440514564514,
34,1679,,0.02992985025048256
34,1679,0.048416778445243835,
35,1727,,0.049686264246702194
35,1727,0.04338555037975311,
36,1775,,0.029404856264591217
36,1775,0.036474522203207016,
37,1823,,0.09640324115753174
37,1823,0.045960623770952225,
38,1871,,0.04161132872104645
38,1871,0.04105868563055992,
39,1919,,0.06011416018009186
39,1919,0.0454382486641407,
40,1967,,0.15858694911003113
